Pattern 0: (AudatexReceipt 0,3 RefCompPDVE)
Pattern 1: (ClaimEdited 0,10 IsoNoMatchRpt)
Pattern 2: (ClaimReopened 0,2 ClaimActivityLog)
Pattern 3: (ClaimReopened 0,1 Vehicle)
Pattern 4: (ClaimReported 0,2 AssociatedToClaim)
Pattern 5: (ClaimReported 1,2 RefRemFromInbox)
Pattern 6: (ClaimSetup 0,2 AssociatedToClaim)
Pattern 7: (ClaimSetup 0,2 RefRemFromInbox)
Pattern 8: (ClaimSummary 4,8 AssociatedToClaim)
Pattern 9: (ClaimSummary 0,6 XPayAuthApprv)
Pattern 10: (COPSCarAsgSentCRP 0,10 IsoNoMatchRpt)
Pattern 11: (DocAddInProgress 0,1 RefRespGeneral)
Pattern 12: (DocumentAdded 0,1 RefRespGeneral)
Pattern 13: (FYISent 11,14 ReceiptItem)
Pattern 14: (FYISent 20,23 RefSentCRD)
Pattern 15: (Inbound 45,46 RefSentAuthority)
Pattern 16: (InitialContact 0,10 IsoNoMatchRpt)
Pattern 17: (InitialContact 1,2 Medicare)
Pattern 18: (IsoDataErrRpt 14,15 ReviewRemFromInbox)
Pattern 19: (LiabilityAnalysis 0,10 IsoNoMatchRpt)
Pattern 20: (PerilActivity 0,10 IsoNoMatchRpt)
Pattern 21: (Perils/Reserves 25,28 AudatexReceipt)
Pattern 22: (Perils/Reserves 25,28 VehicleEdited)
Pattern 23: (ReceiptItem 35,37 ItemCompleteDenial)
Pattern 24: (ReceiptItem 35,37 ManualDeny)
Pattern 25: (Referral 1,2 Medicare)
Pattern 26: (Referral 1,2 RefRespGeneral)
Pattern 27: (RefRespAuthority 4,5 RefRemFromInbox)
Pattern 28: (RefRespGeneral 22,24 Outbound)
Pattern 29: (RefRespPD 22,26 RefRemFromInbox)
Pattern 30: (RefRespRCC 0,2 ClaimActivityLog)
Pattern 31: (RefRespRCC 0,2 DocAddInProgress)
Pattern 32: (RefRespRCC 0,2 DocumentAdded)
Pattern 33: (RefRespRCC 0,1 Inbound)
Pattern 34: (RefRespRCC 0,6 RefRemFromInbox)
Pattern 35: (RefSentAuthority 0,3 DocAddInProgress)
Pattern 36: (RefSentAuthority 0,3 DocumentAdded)
Pattern 37: (RefSentGeneral 0,2 RefRespGeneral)
Pattern 38: (RefSentSalvage 2,3 RefRemFromInbox)
Pattern 39: (RefSentSalvage 0,2 RefRespSalvage)
Pattern 40: (Rental 0,1 ReviewRemFromInbox)
Pattern 41: (ReturnFrBillAudit 0,2 ManualPayment)
Pattern 42: (RouteToInbox 1,3 AssociatedToClaim)
Pattern 43: (Salvage 0,2 Referral)
Pattern 44: (SentToBillAudit 0,2 ManualPayment)
Pattern 45: (SuspendedItem 1,2 AssociatedToClaim)
Pattern 46: (SuspendedItem 0,10 IsoNoMatchRpt)
Pattern 47: (SuspendedItem 19,21 ReturnFrBillAudit)
Pattern 48: (SuspendedItem 19,21 SentToBillAudit)
Pattern 49: (Suspense 19,21 ReturnFrBillAudit)
Pattern 50: (Suspense 19,21 SentToBillAudit)
Pattern 51: (TLWCompleteTtlLoss 0,3 RefRemFromInbox)
Pattern 52: (Vehicle 0,3 RefAssign)
Pattern 53: (VehicleEdited 20,29 AssociatedToClaim)
Pattern 54: (VehicleEdited 20,29 AssociatedToParty)
Pattern 55: (XPayAuthLimit 6,9 Vehicle)
Pattern 56: ((AssReRouteQueue 0,6 ClaimSummary) 11,15 UnsuspendedItem)
Pattern 57: (AssToFileHandler 2,3 (AudatexReceipt 0,1 InitialContact))
Pattern 58: (AudatexReceipt 0,2 (AudatexReceipt 0,1 InitialContact))
Pattern 59: (Inbound 21,22 (AudatexReceipt 19,21 ItmReAssToFHndler))
Pattern 60: ((AudatexReceipt 19,21 ItmReAssToFHndler) 0,1 SuspendedItem)
Pattern 61: (UnsuspendedItem 11,12 (AudatexReceipt 19,21 ItmReAssToFHndler))
Pattern 62: (Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler))
Pattern 63: (DocAddInProgress 1,2 (AudatexReceipt 0,1 Referral))
Pattern 64: (DocumentAdded 1,2 (AudatexReceipt 0,1 Referral))
Pattern 65: (RefSentPDVE 24,29 (AudatexReceipt 0,1 Referral))
Pattern 66: ((AudatexReceipt 0,1 Referral) 23,24 Rental)
Pattern 67: ((AudatexReceipt 0,1 Referral) 1,3 Suspense)
Pattern 68: (AssReRouteQueue 0,2 (AudatexReceipt 0,3 TLWCompleteReprble))
Pattern 69: (AssToFileHandler 0,2 (AudatexReceipt 0,3 TLWCompleteReprble))
Pattern 70: ((ClaimActivityLog 1,3 RefRemFromInbox) 0,1 DocAddInProgress)
Pattern 71: (DocAddInProgress 1,4 (ClaimActivityLog 1,3 RefRemFromInbox))
Pattern 72: ((ClaimActivityLog 1,3 RefRemFromInbox) 0,1 DocumentAdded)
Pattern 73: (DocumentAdded 1,4 (ClaimActivityLog 1,3 RefRemFromInbox))
Pattern 74: (RefSentPDVE 24,25 (ClaimActivityLog 1,3 RefRemFromInbox))
Pattern 75: ((COPSCarAsgSentPDR 1,2 Inbound) 0,2 ClaimActivityLog)
Pattern 76: ((COPSCarAsgSentPDR 1,2 Inbound) 0,4 ClaimEdited)
Pattern 77: ((COPSCarAsgSentPDR 1,2 Inbound) 2,3 PerilActivity)
Pattern 78: ((COPSCarAsgSentPDR 1,2 Inbound) 1,2 SuspendedItem)
Pattern 79: ((COPSCarAsgSentPDR 1,2 Inbound) 0,2 Suspense)
Pattern 80: ((DocAddInProgress 1,3 DocAddInProgress) 0,5 Referral)
Pattern 81: ((DocAddInProgress 1,3 DocumentAdded) 1,3 DocAddInProgress)
Pattern 82: ((DocAddInProgress 1,3 DocumentAdded) 1,3 DocumentAdded)
Pattern 83: ((DocAddInProgress 1,3 DocumentAdded) 0,5 Referral)
Pattern 84: (FYISent 41,42 (DocAddInProgress 1,2 RefRemFromInbox))
Pattern 85: (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))
Pattern 86: (Rental 22,27 (DocAddInProgress 1,2 RefRemFromInbox))
Pattern 87: (Vehicle 0,1 (DocAddInProgress 1,2 RefRemFromInbox))
Pattern 88: ((DocAddInProgress 0,2 RefSentSalvage) 0,2 Correspondencsent)
Pattern 89: ((DocAddInProgress 0,2 RefSentSalvage) 0,2 Referral)
Pattern 90: ((DocumentAdded 1,3 DocAddInProgress) 1,3 DocAddInProgress)
Pattern 91: ((DocumentAdded 1,3 DocAddInProgress) 1,3 DocumentAdded)
Pattern 92: ((DocumentAdded 1,3 DocAddInProgress) 0,5 Referral)
Pattern 93: ((DocumentAdded 1,3 DocumentAdded) 0,5 Referral)
Pattern 94: (FYISent 41,42 (DocumentAdded 1,2 RefRemFromInbox))
Pattern 95: (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))
Pattern 96: (Rental 22,27 (DocumentAdded 1,2 RefRemFromInbox))
Pattern 97: (Vehicle 0,1 (DocumentAdded 1,2 RefRemFromInbox))
Pattern 98: ((DocumentAdded 0,2 RefSentSalvage) 0,2 Correspondencsent)
Pattern 99: ((DocumentAdded 0,2 RefSentSalvage) 0,2 Referral)
Pattern 100: ((FYISent 0,3 AssReRouteQueue) 0,2 ClaimActivityLog)
Pattern 101: ((FYISent 0,3 AssReRouteQueue) 0,2 LiabilityAnalysis)
Pattern 102: ((FYISent 0,3 AssReRouteQueue) 0,2 SuspendedItem)
Pattern 103: ((FYISent 0,3 AssReRouteQueue) 0,2 Suspense)
Pattern 104: ((FYISent 0,3 AssReRouteQueue) 1,2 Vehicle)
Pattern 105: (Vehicle 20,22 (FYISent 0,3 AssReRouteQueue))
Pattern 106: ((FYISent 1,3 AssToFileHandler) 0,3 InitialContact)
Pattern 107: ((FYISent 1,3 AssToFileHandler) 0,2 LiabilityAnalysis)
Pattern 108: ((FYISent 1,3 AssToFileHandler) 0,3 SuspendedItem)
Pattern 109: ((FYISent 1,3 AssToFileHandler) 0,3 Suspense)
Pattern 110: ((FYISent 0,4 LiabilityAnalysis) 0,1 AudatexReceipt)
Pattern 111: (Inbound 1,2 (FYISent 0,4 LiabilityAnalysis))
Pattern 112: ((FYISent 0,3 RefAssign) 15,17 Suspense)
Pattern 113: ((FYISent 0,2 RefSentRental) 13,14 Referral)
Pattern 114: ((FYISent 0,2 RefSentRental) 13,14 RefRespRental)
Pattern 115: ((FYISent 0,2 RefSentRental) 14,15 SuspendedItem)
Pattern 116: ((IsoNoMatchRpt 0,4 Inbound) 0,2 Inbound)
Pattern 117: (ItmReAssToFHndler 0,1 (ItmReAssToFHndler 1,3 Correspondencsent))
Pattern 118: ((ItmReAssToFHndler 0,5 Referral) 1,5 Correspondencsent)
Pattern 119: (RefSentPD 20,24 (ItmReAssToFHndler 0,5 Referral))
Pattern 120: (VehicleEdited 19,21 (ItmReAssToFHndler 0,5 Referral))
Pattern 121: (AudatexReceipt 20,21 (ItmReAssToFHndler 0,5 RefRemFromInbox))
Pattern 122: (RefSentPD 21,24 (ItmReAssToFHndler 0,5 RefRemFromInbox))
Pattern 123: (Suspense 21,25 (ItmReAssToFHndler 0,5 RefRemFromInbox))
Pattern 124: ((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle)
Pattern 125: (RefSentPD 21,24 (ItmReAssToFHndler 0,1 RefRespPD))
Pattern 126: (SuspendedItem 21,24 (ItmReAssToFHndler 0,1 RefRespPD))
Pattern 127: (Suspense 21,24 (ItmReAssToFHndler 0,1 RefRespPD))
Pattern 128: (AudatexReceipt 19,21 (ItmReAssToFHndler 0,1 RefSentPDVE))
Pattern 129: (RefSentPD 20,21 (ItmReAssToFHndler 0,1 RefSentPDVE))
Pattern 130: (VehicleEdited 19,21 (ItmReAssToFHndler 0,1 RefSentPDVE))
Pattern 131: (ItmReAssToFHndler 0,1 (ItmReAssToFHndler 0,3 SuspendedItem))
Pattern 132: (RefSentPD 20,21 (ItmReAssToFHndler 0,3 SuspendedItem))
Pattern 133: ((ItmReAssToFHndler 0,3 Suspense) 15,17 DocAddInProgress)
Pattern 134: ((ItmReAssToFHndler 0,3 Suspense) 15,17 DocumentAdded)
Pattern 135: (ItmReAssToFHndler 0,1 (ItmReAssToFHndler 0,3 Suspense))
Pattern 136: (Suspense 23,26 (makePaymentSubmit 1,2 ClaimSummary))
Pattern 137: (ClaimActivityLog 44,46 (makePaymentSubmit 0,7 FYISent))
Pattern 138: ((makePaymentSubmit 0,7 FYISent) 0,1 SuspendedItem)
Pattern 139: ((makePaymentSubmit 0,7 FYISent) 0,1 Suspense)
Pattern 140: (AudatexReceipt 46,47 (makePaymentSubmit 1,2 RefRemFromInbox))
Pattern 141: (ClaimReported 5,13 (Medical 0,2 Suspense))
Pattern 142: (PerilActivity 3,5 (Medical 0,2 Suspense))
Pattern 143: ((PerilActivity 20,21 makePaymentSubmit) 17,19 ClaimClosed)
Pattern 144: ((PerilActivity 20,21 makePaymentSubmit) 17,19 PerilActivity)
Pattern 145: (Referral 0,6 (RefCompPDVE 0,1 ClaimEdited))
Pattern 146: (RefSentPDVE 0,6 (RefCompPDVE 0,1 ClaimEdited))
Pattern 147: (SuspendedItem 3,6 (RefCompPDVE 0,1 ClaimEdited))
