Starting at 2016-03-01 22:10:02.223216...

	
Parameters:	
Table:claim_events_100op	
Limit Infrequent Events: 10	
Limit Infrequent Pairs: 10	
Prune KL-Divergence: False	
Window: 12	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:1 Candidates:2268  (AssociatedToClaim AssociatedToClaim)
Found:0 Checked:2 Candidates:2267  (AssociatedToClaim AssociatedToParty)
Found:0 Checked:3 Candidates:2266  (AssociatedToClaim AssReRouteQueue)
Found:0 Checked:4 Candidates:2265  (AssociatedToClaim AssRouteToOffice)
Found:0 Checked:5 Candidates:2264  (AssociatedToClaim AssToFileHandler)
Found:0 Checked:6 Candidates:2263  (AssociatedToClaim AudatexReceipt)
Found:0 Checked:7 Candidates:2262  (AssociatedToClaim ClaimActivityLog)
Found:0 Checked:8 Candidates:2261  (AssociatedToClaim ClaimClosed)
Found:0 Checked:9 Candidates:2260  (AssociatedToClaim ClaimEdited)
Found:0 Checked:10 Candidates:2259  (AssociatedToClaim ClaimReported)
Found:0 Checked:11 Candidates:2258  (AssociatedToClaim ClaimSetup)
Found:0 Checked:12 Candidates:2257  (AssociatedToClaim ClaimSummary)
Found:0 Checked:13 Candidates:2256  (AssociatedToClaim Contact)
Found:0 Checked:14 Candidates:2255  (AssociatedToClaim COPSCarAsgSentPDR)
Found:0 Checked:15 Candidates:2254  (AssociatedToClaim Correspondencsent)
Found:0 Checked:16 Candidates:2253  (AssociatedToClaim DocAddInProgress)
Found:0 Checked:17 Candidates:2252  (AssociatedToClaim DocumentAdded)
Found:0 Checked:18 Candidates:2251  (AssociatedToClaim DocumentFiled)
Found:0 Checked:19 Candidates:2250  (AssociatedToClaim FYISent)
Found:0 Checked:20 Candidates:2249  (AssociatedToClaim grpPymtSubmit)
Found:0 Checked:21 Candidates:2248  (AssociatedToClaim Inbound)
Found:0 Checked:22 Candidates:2247  (AssociatedToClaim InitialContact)
Found:0 Checked:23 Candidates:2246  (AssociatedToClaim IsoMatchRpt)
Found:0 Checked:24 Candidates:2245  (AssociatedToClaim ItmReAssToFHndler)
Found:0 Checked:25 Candidates:2244  (AssociatedToClaim LiabilityAnalysis)
Found:0 Checked:26 Candidates:2243  (AssociatedToClaim makePaymentSubmit)
Found:0 Checked:27 Candidates:2242  (AssociatedToClaim Outbound)
Found:0 Checked:28 Candidates:2241  (AssociatedToClaim PartyEdited)
Found:0 Checked:29 Candidates:2240  (AssociatedToClaim PerilActivity)
Found:0 Checked:30 Candidates:2239  (AssociatedToClaim ReceiptItem)
Found:0 Checked:31 Candidates:2238  (AssociatedToClaim RefCompPDVE)
Found:0 Checked:32 Candidates:2237  (AssociatedToClaim Referral)
Found:0 Checked:33 Candidates:2236  (AssociatedToClaim RefRemFromInbox)
Found:0 Checked:34 Candidates:2235  (AssociatedToClaim RefRespSalvage)
Found:0 Checked:35 Candidates:2234  (AssociatedToClaim RefSentPDVE)
Found:0 Checked:36 Candidates:2233  (AssociatedToClaim RefSentSalvage)
Found:0 Checked:37 Candidates:2232  (AssociatedToClaim Rental)
Found:0 Checked:38 Candidates:2231  (AssociatedToClaim ReviewRemFromInbox)
Found:0 Checked:39 Candidates:2230  (AssociatedToClaim RouteToInbox)
Found:0 Checked:40 Candidates:2229  (AssociatedToClaim Subrogation)
Found:0 Checked:41 Candidates:2228  (AssociatedToClaim SuspendedItem)
Found:0 Checked:42 Candidates:2227  (AssociatedToClaim Suspense)
Found:0 Checked:43 Candidates:2226  (AssociatedToClaim UnsuspendedItem)
Found:0 Checked:44 Candidates:2225  (AssociatedToClaim Vehicle)
Found:0 Checked:45 Candidates:2224  (AssociatedToClaim VehicleEdited)
Found:0 Checked:46 Candidates:2223  (AssociatedToParty AssociatedToClaim)
Found:0 Checked:47 Candidates:2222  (AssociatedToParty AssociatedToParty)
Found:0 Checked:48 Candidates:2221  (AssociatedToParty AssReRouteQueue)
Found:0 Checked:49 Candidates:2220  (AssociatedToParty AssRouteToOffice)
Found:0 Checked:50 Candidates:2219  (AssociatedToParty AssToFileHandler)
Found:0 Checked:51 Candidates:2218  (AssociatedToParty AudatexReceipt)
Found:0 Checked:52 Candidates:2217  (AssociatedToParty ClaimActivityLog)
Found:0 Checked:53 Candidates:2216  (AssociatedToParty ClaimClosed)
Found:0 Checked:54 Candidates:2215  (AssociatedToParty ClaimEdited)
Found:0 Checked:55 Candidates:2214  (AssociatedToParty ClaimReported)
Found:0 Checked:56 Candidates:2213  (AssociatedToParty ClaimSetup)
Found:0 Checked:57 Candidates:2212  (AssociatedToParty ClaimSummary)
Found:0 Checked:58 Candidates:2211  (AssociatedToParty Contact)
Found:0 Checked:59 Candidates:2210  (AssociatedToParty COPSCarAsgSentPDR)
Found:0 Checked:60 Candidates:2209  (AssociatedToParty Correspondencsent)
Found:0 Checked:61 Candidates:2208  (AssociatedToParty DocAddInProgress)
Found:0 Checked:62 Candidates:2207  (AssociatedToParty DocumentAdded)
Found:0 Checked:63 Candidates:2206  (AssociatedToParty DocumentFiled)
Found:0 Checked:64 Candidates:2205  (AssociatedToParty FYISent)
Found:0 Checked:65 Candidates:2204  (AssociatedToParty Inbound)
Found:0 Checked:66 Candidates:2203  (AssociatedToParty InitialContact)
Found:0 Checked:67 Candidates:2202  (AssociatedToParty IsoMatchRpt)
Found:0 Checked:68 Candidates:2201  (AssociatedToParty ItmReAssToFHndler)
Found:0 Checked:69 Candidates:2200  (AssociatedToParty LiabilityAnalysis)
Found:0 Checked:70 Candidates:2199  (AssociatedToParty makePaymentSubmit)
Found:0 Checked:71 Candidates:2198  (AssociatedToParty Outbound)
Found:0 Checked:72 Candidates:2197  (AssociatedToParty PartyEdited)
