Starting at 2016-03-01 17:27:23.231555...

	
Parameters:	
Limit Infrequent Events: False	
Limit Infrequent Pairs: False	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:0 Checked:1 Candidates:2600  (AssociatedToClaim AssociatedToClaim)
Found:0 Checked:2 Candidates:2599  (AssociatedToClaim AssociatedToParty)
Found:0 Checked:3 Candidates:2598  (AssociatedToClaim AssReRouteQueue)
Found:0 Checked:4 Candidates:2597  (AssociatedToClaim AssRouteToOffice)
Found:0 Checked:5 Candidates:2596  (AssociatedToClaim AssToFileHandler)
Found:0 Checked:6 Candidates:2595  (AssociatedToClaim AudatexReceipt)
Found:0 Checked:7 Candidates:2594  (AssociatedToClaim ClaimActivityLog)
Found:0 Checked:8 Candidates:2593  (AssociatedToClaim ClaimClosed)
Found:0 Checked:9 Candidates:2592  (AssociatedToClaim ClaimEdited)
Found:0 Checked:10 Candidates:2591  (AssociatedToClaim ClaimReopened)
Found:0 Checked:11 Candidates:2590  (AssociatedToClaim ClaimReported)
Found:0 Checked:12 Candidates:2589  (AssociatedToClaim ClaimSetup)
Found:0 Checked:13 Candidates:2588  (AssociatedToClaim Contact)
Found:0 Checked:14 Candidates:2587  (AssociatedToClaim COPSCarAsgSentCRP)
Found:0 Checked:15 Candidates:2586  (AssociatedToClaim COPSCarAsgSentPDR)
Found:0 Checked:16 Candidates:2585  (AssociatedToClaim Correspondencsent)
Found:0 Checked:17 Candidates:2584  (AssociatedToClaim DocAddInProgress)
Found:0 Checked:18 Candidates:2583  (AssociatedToClaim DocumentAdded)
Found:0 Checked:19 Candidates:2582  (AssociatedToClaim FYISent)
Found:0 Checked:20 Candidates:2581  (AssociatedToClaim grpPymtSubmit)
Found:0 Checked:21 Candidates:2580  (AssociatedToClaim Inbound)
Found:0 Checked:22 Candidates:2579  (AssociatedToClaim InitialContact)
Found:0 Checked:23 Candidates:2578  (AssociatedToClaim IsoMatchRpt)
Found:0 Checked:24 Candidates:2577  (AssociatedToClaim IsoNoMatchRpt)
Found:0 Checked:25 Candidates:2576  (AssociatedToClaim LiabilityAnalysis)
Found:0 Checked:26 Candidates:2575  (AssociatedToClaim makePaymentSubmit)
Found:0 Checked:27 Candidates:2574  (AssociatedToClaim MultDocAddBegin)
Found:0 Checked:28 Candidates:2573  (AssociatedToClaim MultipleDocAdded)
Found:0 Checked:29 Candidates:2572  (AssociatedToClaim Outbound)
Found:0 Checked:30 Candidates:2571  (AssociatedToClaim PartyAdded)
Found:0 Checked:31 Candidates:2570  (AssociatedToClaim PartyEdited)
Found:0 Checked:32 Candidates:2569  (AssociatedToClaim PerilActivity)
Found:0 Checked:33 Candidates:2568  (AssociatedToClaim ReasonforEscalation)
Found:0 Checked:34 Candidates:2567  (AssociatedToClaim ReceiptItem)
Found:0 Checked:35 Candidates:2566  (AssociatedToClaim recordManualPymt)
Found:0 Checked:36 Candidates:2565  (AssociatedToClaim RefCompPDVE)
Found:0 Checked:37 Candidates:2564  (AssociatedToClaim Referral)
Found:0 Checked:38 Candidates:2563  (AssociatedToClaim RefRemFromInbox)
Found:0 Checked:39 Candidates:2562  (AssociatedToClaim RefRespPD)
Found:0 Checked:40 Candidates:2561  (AssociatedToClaim RefRespPDVE)
Found:0 Checked:41 Candidates:2560  (AssociatedToClaim RefSentPD)
Found:0 Checked:42 Candidates:2559  (AssociatedToClaim RefSentPDVE)
Found:0 Checked:43 Candidates:2558  (AssociatedToClaim Rental)
Found:0 Checked:44 Candidates:2557  (AssociatedToClaim ReviewRemFromInbox)
Found:0 Checked:45 Candidates:2556  (AssociatedToClaim RouteToInbox)
Found:0 Checked:46 Candidates:2555  (AssociatedToClaim Subrogation)
Found:0 Checked:47 Candidates:2554  (AssociatedToClaim SuspendedItem)
Found:0 Checked:48 Candidates:2553  (AssociatedToClaim Suspense)
Found:0 Checked:49 Candidates:2552  (AssociatedToClaim UnsuspendedItem)
Found:0 Checked:50 Candidates:2551  (AssociatedToClaim Vehicle)
Found:0 Checked:51 Candidates:2550  (AssociatedToClaim VehicleEdited)
Found:0 Checked:52 Candidates:2549  (AssociatedToParty AssociatedToClaim)
Found:0 Checked:53 Candidates:2548  (AssociatedToParty AssociatedToParty)
Found:0 Checked:54 Candidates:2547  (AssociatedToParty AssReRouteQueue)
Found:0 Checked:55 Candidates:2546  (AssociatedToParty AssRouteToOffice)
Found:0 Checked:56 Candidates:2545  (AssociatedToParty AssToFileHandler)
Found:0 Checked:57 Candidates:2544  (AssociatedToParty AudatexReceipt)
Found:0 Checked:58 Candidates:2543  (AssociatedToParty ClaimActivityLog)
Found:0 Checked:59 Candidates:2542  (AssociatedToParty ClaimClosed)
Found:0 Checked:60 Candidates:2541  (AssociatedToParty ClaimEdited)
Found:0 Checked:61 Candidates:2540  (AssociatedToParty ClaimReopened)
Found:0 Checked:62 Candidates:2539  (AssociatedToParty ClaimReported)
Found:0 Checked:63 Candidates:2538  (AssociatedToParty ClaimSetup)
Found:0 Checked:64 Candidates:2537  (AssociatedToParty Contact)
Found:0 Checked:65 Candidates:2536  (AssociatedToParty COPSCarAsgSentCRP)
Found:0 Checked:66 Candidates:2535  (AssociatedToParty COPSCarAsgSentPDR)
Found:0 Checked:67 Candidates:2534  (AssociatedToParty Correspondencsent)
Found:0 Checked:68 Candidates:2533  (AssociatedToParty DocAddInProgress)
Found:0 Checked:69 Candidates:2532  (AssociatedToParty DocumentAdded)
Found:0 Checked:70 Candidates:2531  (AssociatedToParty FYISent)
Found:0 Checked:71 Candidates:2530  (AssociatedToParty grpPymtSubmit)
Found:0 Checked:72 Candidates:2529  (AssociatedToParty Inbound)
Found:0 Checked:73 Candidates:2528  (AssociatedToParty InitialContact)
Found:0 Checked:74 Candidates:2527  (AssociatedToParty IsoMatchRpt)
Found:0 Checked:75 Candidates:2526  (AssociatedToParty IsoNoMatchRpt)
Found:0 Checked:76 Candidates:2525  (AssociatedToParty LiabilityAnalysis)
Found:0 Checked:77 Candidates:2524  (AssociatedToParty makePaymentSubmit)
Found:0 Checked:78 Candidates:2523  (AssociatedToParty MultDocAddBegin)
Found:0 Checked:79 Candidates:2522  (AssociatedToParty MultipleDocAdded)
Found:0 Checked:80 Candidates:2521  (AssociatedToParty Outbound)
Found:0 Checked:81 Candidates:2520  (AssociatedToParty PartyAdded)
Found:0 Checked:82 Candidates:2519  (AssociatedToParty PartyEdited)
Found:0 Checked:83 Candidates:2518  (AssociatedToParty PerilActivity)
Found:0 Checked:84 Candidates:2517  (AssociatedToParty ReasonforEscalation)
Found:0 Checked:85 Candidates:2516  (AssociatedToParty ReceiptItem)
Found:0 Checked:86 Candidates:2515  (AssociatedToParty recordManualPymt)
Found:0 Checked:87 Candidates:2514  (AssociatedToParty RefCompPDVE)
Found:0 Checked:88 Candidates:2513  (AssociatedToParty Referral)
Found:0 Checked:89 Candidates:2512  (AssociatedToParty RefRemFromInbox)
Found:0 Checked:90 Candidates:2511  (AssociatedToParty RefRespPD)
Found:0 Checked:91 Candidates:2510  (AssociatedToParty RefRespPDVE)
Found:0 Checked:92 Candidates:2509  (AssociatedToParty RefSentPD)
Found:0 Checked:93 Candidates:2508  (AssociatedToParty RefSentPDVE)
Found:0 Checked:94 Candidates:2507  (AssociatedToParty Rental)
Found:0 Checked:95 Candidates:2506  (AssociatedToParty ReviewRemFromInbox)
Found:0 Checked:96 Candidates:2505  (AssociatedToParty RouteToInbox)
Found:0 Checked:97 Candidates:2504  (AssociatedToParty Subrogation)
Found:0 Checked:98 Candidates:2503  (AssociatedToParty SuspendedItem)
Found:0 Checked:99 Candidates:2502  (AssociatedToParty Suspense)
Found:0 Checked:100 Candidates:2501  (AssociatedToParty UnsuspendedItem)
