Starting at 2016-03-28 02:18:24.858632...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: 0.5	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:0 Checked:1 Candidates:10282  (AllegedRemoved AssRouteToOffice)
Found:0 Checked:2 Candidates:10281  (AllegedRemoved AssToFileHandler)
Found:0 Checked:3 Candidates:10280  (AllegedRemoved AudatexReceipt)
Found:0 Checked:4 Candidates:10279  (AllegedRemoved ClaimActivityLog)
Found:0 Checked:5 Candidates:10278  (AllegedRemoved ClaimClosed)
Found:0 Checked:6 Candidates:10277  (AllegedRemoved ClaimEdited)
Found:0 Checked:7 Candidates:10276  (AllegedRemoved ClaimReported)
Found:0 Checked:8 Candidates:10275  (AllegedRemoved COPSCarAsgSentCRP)
Found:0 Checked:9 Candidates:10274  (AllegedRemoved Correspondencsent)
Found:0 Checked:10 Candidates:10273  (AllegedRemoved DocAddInProgress)
Found:0 Checked:11 Candidates:10272  (AllegedRemoved DocumentAdded)
Found:0 Checked:12 Candidates:10271  (AllegedRemoved FYISent)
Found:0 Checked:13 Candidates:10270  (AllegedRemoved Inbound)
Found:0 Checked:14 Candidates:10269  (AllegedRemoved InitialContact)
Found:0 Checked:15 Candidates:10268  (AllegedRemoved PerilActivity)
Found:0 Checked:16 Candidates:10267  (AllegedRemoved PolicyNumberChange)
Found:0 Checked:17 Candidates:10266  (AllegedRemoved RefSentCRD)
Found:0 Checked:18 Candidates:10265  (AllegedRemoved Rental)
Found:0 Checked:19 Candidates:10264  (AllegedRemoved SuspendedItem)
Found:0 Checked:20 Candidates:10263  (AllegedRemoved UnsuspendedItem)
Found:0 Checked:21 Candidates:10262  (AllegedRemoved Vehicle)
Found:0 Checked:22 Candidates:10261  (AllegedRemoved VehicleEdited)
Found:0 Checked:23 Candidates:10260  (applyCreditSubmit AssociatedToClaim)
Found:0 Checked:24 Candidates:10259  (applyCreditSubmit AssociatedToParty)
Found:0 Checked:25 Candidates:10258  (applyCreditSubmit AssReRouteQueue)
Found:0 Checked:26 Candidates:10257  (applyCreditSubmit AssRouteToOffice)
Found:0 Checked:27 Candidates:10256  (applyCreditSubmit AssToFileHandler)
Found:0 Checked:28 Candidates:10255  (applyCreditSubmit AudatexReceipt)
Found:0 Checked:29 Candidates:10254  (applyCreditSubmit ClaimActivityLog)
Found:0 Checked:30 Candidates:10253  (applyCreditSubmit ClaimClosed)
Found:0 Checked:31 Candidates:10252  (applyCreditSubmit ClaimEdited)
Found:0 Checked:32 Candidates:10251  (applyCreditSubmit ClaimReported)
Found:0 Checked:33 Candidates:10250  (applyCreditSubmit ClaimSecured)
Found:0 Checked:34 Candidates:10249  (applyCreditSubmit ClaimSetup)
Found:0 Checked:35 Candidates:10248  (applyCreditSubmit ClaimUnsecured)
Found:0 Checked:36 Candidates:10247  (applyCreditSubmit COPSCarAsgSentCRP)
Found:0 Checked:37 Candidates:10246  (applyCreditSubmit Correspondencsent)
Found:0 Checked:38 Candidates:10245  (applyCreditSubmit DocAddInProgress)
Found:0 Checked:39 Candidates:10244  (applyCreditSubmit DocumentAdded)
Found:0 Checked:40 Candidates:10243  (applyCreditSubmit FYISent)
Found:0 Checked:41 Candidates:10242  (applyCreditSubmit grpPymtSubmit)
Found:0 Checked:42 Candidates:10241  (applyCreditSubmit Inbound)
Found:0 Checked:43 Candidates:10240  (applyCreditSubmit InitialContact)
Found:0 Checked:44 Candidates:10239  (applyCreditSubmit IsoMatchRpt)
Found:0 Checked:45 Candidates:10238  (applyCreditSubmit IsoNoMatchRpt)
Found:0 Checked:46 Candidates:10237  (applyCreditSubmit ItmReAssToFHndler)
Found:0 Checked:47 Candidates:10236  (applyCreditSubmit LiabilityAnalysis)
Found:0 Checked:48 Candidates:10235  (applyCreditSubmit makePaymentSubmit)
Found:0 Checked:49 Candidates:10234  (applyCreditSubmit Outbound)
Found:0 Checked:50 Candidates:10233  (applyCreditSubmit PerilActivity)
Found:0 Checked:51 Candidates:10232  (applyCreditSubmit ReasonforEscalation)
Found:0 Checked:52 Candidates:10231  (applyCreditSubmit ReceiptItem)
Found:0 Checked:53 Candidates:10230  (applyCreditSubmit RefAssign)
Found:0 Checked:54 Candidates:10229  (applyCreditSubmit Referral)
Found:0 Checked:55 Candidates:10228  (applyCreditSubmit RefRemFromInbox)
Found:0 Checked:56 Candidates:10227  (applyCreditSubmit RefRespAuthority)
Found:0 Checked:57 Candidates:10226  (applyCreditSubmit RefRespGeneral)
Found:0 Checked:58 Candidates:10225  (applyCreditSubmit RefRespPD)
Found:0 Checked:59 Candidates:10224  (applyCreditSubmit RefRespPDVE)
Found:0 Checked:60 Candidates:10223  (applyCreditSubmit RefRespRental)
Found:0 Checked:61 Candidates:10222  (applyCreditSubmit RefRespSalvage)
Found:0 Checked:62 Candidates:10221  (applyCreditSubmit RefSentAuthority)
Found:0 Checked:63 Candidates:10220  (applyCreditSubmit RefSentGeneral)
